,Nazione,Idroelettrico,Solare,Eolico,Geotermico,Biomassa,Rifiuti,Nucleare,Gas,Carbone,Totale
0,Albania,8.708557,0.29745900000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.006016
1,Austria,44.523105,6.394811,8.036705,5e-06,4.188799,1.6007620000000002,0.0,7.495264,0.041874,72.28132500000001
2,Belgio,1.6559000000000001,7.82,15.4439,0.0,2.8321,3.1072,32.9279,18.2892,0.08020000000000001,82.1564
3,Bulgaria,3.1302280000000002,3.5207089999999996,1.583852,0.0,1.874002,0.0,16.163276,1.942008,23.098753,51.312827999999996
4,Croazia,8.2481,0.4131,2.5865,0.0206,1.0465,0.0,0.0,3.8642,2.6504000000000003,18.829400000000003
7,Danimarca,0.019628,3.3632779999999998,19.393192,0.0,5.513146000000001,2.4351270000000005,0.0,1.0001929999999999,5.050158000000001,36.774722
8,Estonia,0.024,0.721,0.683,0.0,1.32413,0.232736,0.0,0.0215,0.0,3.0063660000000003
9,Finlandia,15.200385,0.7164400000000001,15.043174,0.0,10.901188,1.228374,34.308,0.66,3.124,81.18156099999999
10,Francia,60.850418000000005,21.823113000000003,50.479192000000005,0.128797,7.806513,6.414926,338.202283,29.839304,3.9528119999999998,519.497358
11,Germania,25.337,63.576,140.538,0.195,40.099,17.832,7.216,80.875,244.430682,620.098682
12,Grecia,4.04447,8.893572,11.021764,0.0,0.654851,0.0428,0.0,15.979114,9.181224,49.817795000000004
13,Ungheria,0.222,6.925,0.646,0.016,1.446,0.493,15.918,7.279,4.986,37.931
15,Irlanda,1.2376179999999999,0.646482,11.863352,0.0,0.49704899999999996,0.9869459999999999,0.0,15.350674999999999,2.421522,33.003644
16,Italia,42.068259999999995,30.711081999999998,23.640472000000003,5.692194000000001,10.922930000000001,7.074707,0.0,118.986515,26.43977,265.53593
18,Lettonia,3.7944560000000003,0.239068,0.270757,0.0,0.659077,0.0,0.0,1.421958,0.0,6.3853159999999995
19,Lituania,0.9887999999999999,0.6884,2.5361,0.0,0.5327,0.504,0.0,0.5841000000000001,0.0,5.8341
23,Montenegro,2.2213000000000003,0.0172,0.31189999999999996,0.0,0.0,0.0,0.0,0.0,3.273,5.8234
24,Paesi Bassi,0.069369,19.578187999999997,29.525080999999997,0.0,5.625284,5.544611,3.985293,45.952445,17.423512,127.70378299999999
26,Norvegia,137.97481200000001,0.357619,13.965093000000001,0.0,0.035646,0.606254,0.0,1.529803,0.053836,154.523063
27,Polonia,3.734029,11.107089,24.176356,0.0,7.856647,1.3659279999999998,0.0,16.493658,197.6371,262.370807
28,Portogallo,14.868165999999999,5.160143,13.145397999999998,0.20752600000000002,3.501439,0.7092189999999999,0.0,10.416077,0.0,48.007968
29,Romania,18.649293,2.22705,7.548,0.0,0.44453000000000004,5e-06,11.191089,9.151292999999999,16.017193,65.228453
30,Serbia,13.080476999999998,0.046564999999999995,1.067942,0.0,0.251137,0.018515,0.0,1.96615,47.066997,63.497783
32,Slovenia,5.322067,0.984359,0.006372,0.0,0.289751,0.009936,5.603006000000001,0.498693,5.913103,18.627287
33,Spagna,31.105,43.421,64.275,0.0,5.056,2.399,56.873,64.272,7.246,274.647
34,Svezia,66.24,3.114,34.245,0.0,10.305,3.969,48.47,0.154,0.054,166.551
