,Nazione,Idroelettrico,Solare,Eolico,Geotermico,Biomassa,Rifiuti,Nucleare,Gas,Carbone,Totale
0,Norvegia,34.6,0.009,5.133,0.0,0.014,0.092,0.0,0.473,0.0,40.321000000000005
1,Svezia,16.3,3.2,16.7,0.0,0.0,0.0,6.9,0.0,0.0,43.1
2,Finlandia,3.173,0.027,6.618,0.0,1.695,0.087,4.364,1.742,1.41,19.116000000000003
3,Estonia,0.008,0.812,0.447,0.0,0.15,0.017,0.0,0.093,0.0,1.527
4,Lettonia,1.588,0.303,0.136,0.0,0.166,0.0,0.0,1.112,0.0,3.305
5,Lituania,1.029,1.165,1.288,0.0,0.196,0.07,0.0,1.503,0.0,5.251
6,Polonia,2.378,14.609,9.583,0.0,0.662,0.0,0.0,5.436,26.388,59.056
7,Germania,14.561,76.601,68.297,0.054,8.577,1.808,0.0,37.512,36.774,244.184
8,Danimarca,0.0,3.73,7.506,0.0,0.0,0.0,0.0,0.0,0.0,11.236
9,Paesi Bassi,0.038,24.261,10.79,0.0,0.415,0.786,0.486,18.351,4.006,59.132999999999996
10,Belgio,1.494,8.789,5.315,0.0,0.731,0.384,3.929,6.995,0.0,27.637
11,Francia,25.45,17.419,23.617,0.002,1.403,0.968,61.37,13.133,1.812,145.17400000000004
12,Spagna,20.344,23.867,30.159,0.0,0.708,0.546,7.117,29.873,3.223,115.83700000000002
13,Portogallo,8.196,1.332,5.353,0.0,0.647,0.0,0.0,4.585,0.0,20.113
15,Austria,11.821,7.294,4.021,0.0,0.549,0.08,0.0,4.225,0.0,27.989999999999995
17,Ungheria,0.061,3.888,0.325,0.003,0.214,0.049,1.916,3.161,0.829,10.446000000000002
18,Slovenia,1.305,1.11,0.003,0.0,0.043,0.006,0.696,0.756,1.191,5.11
19,Croazia,2.155,0.292,1.209,0.01,0.114,0.006,0.0,0.886,0.217,4.8889999999999985
21,Grecia,3.429,6.7,5.065,0.0,0.12,0.0,0.0,6.03,2.65,23.993999999999996
24,Serbia,3.179,0.029,0.646,0.0,0.002,0.032,0.0,0.607,6.011,10.506
25,Romania,6.139,1.293,2.958,0.0,0.118,0.0,1.3,2.238,1.909,15.955000000000002
26,Bulgaria,3.211,4.568,0.711,0.0,0.074,0.006,2.08,0.723,4.475,15.848
27,Montenegro,0.649,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.21,0.977
28,Italia,22.089,5.927,11.681,0.868,1.543,0.67,0.0,47.228,5.583,95.589
29,Irlanda,0.508,0.0,1.919,0.017,0.0,0.0,0.0,4.265,0.855,7.564
30,Albania,2.203,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3979999999999997
