DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Albania,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Austria,2023,4.703,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Belgium,2023,94.800,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Bulgaria,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Cyprus,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Czechia,2023,1.817,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Germany,2023,184.902,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Denmark,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Estonia,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Greece,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Spain,2023,1.049,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,European Union - 27 countries (from 2020),2023,932.700,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Finland,2023,17.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,France,2023,61.551,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Croatia,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Hungary,2023,6.522,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Ireland,2023,7.173,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Iceland,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Italy,2023,16.662,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Lithuania,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Luxembourg,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Latvia,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Moldova,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Montenegro,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,North Macedonia,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Malta,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Netherlands,2023,87.793,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Norway,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Poland,2023,446.520,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Portugal,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Romania,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Serbia,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Sweden,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Slovenia,2023,2.208,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Slovakia,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Türkiye,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Batteries,Gigawatt-hour,Kosovo*,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Albania,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Austria,2023,4571.372,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Belgium,2023,3818.041,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Bulgaria,2023,1874.002,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Cyprus,2023,53.873,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Czechia,2023,5191.889,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Germany,2023,47045.389,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Denmark,2023,6755.236,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Estonia,2023,1377.914,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Greece,2023,654.851,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Spain,2023,5949.549,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Finland,2023,11347.906,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,France,2023,10598.544,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Croatia,2023,1046.500,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Hungary,2023,1572.433,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Ireland,2023,848.010,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Iceland,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Italy,2023,16547.684,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Lithuania,2023,764.295,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Luxembourg,2023,366.232,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Latvia,2023,659.077,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Moldova,2023,22.500,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Montenegro,2023,0.000,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,North Macedonia,2023,65.247,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Malta,2023,9.611,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Netherlands,2023,8077.471,,
ESTAT:NRG_BAL_PEH(1.0),04/03/25 23:00:00,Annual,Gross electricity production,Bioenergy,Gigawatt-hour,Norway,2023,249.953,,
